Model,Train,Test,Accuracy,Precision_macro,Recall_macro,F1_macro,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Macro_F1,Weighted_F1,Full_Report_JSON
deepset/gbert-base,GERMEVAL (train_70),GERMEVAL (test_30),0.832738803012287,0.8154751123353731,0.8058470511880378,0.8102252829047933,0.862870424171993,0.8886894075403949,0.8755896226415094,1671.0,0.7680798004987531,0.7230046948356808,0.7448609431680774,852.0,0.8102252829047933,0.8314434336159985,"{""0"": {""precision"": 0.862870424171993, ""recall"": 0.8886894075403949, ""f1-score"": 0.8755896226415094, ""support"": 1671.0}, ""1"": {""precision"": 0.7680798004987531, ""recall"": 0.7230046948356808, ""f1-score"": 0.7448609431680774, ""support"": 852.0}, ""accuracy"": 0.832738803012287, ""macro avg"": {""precision"": 0.8154751123353731, ""recall"": 0.8058470511880378, ""f1-score"": 0.8102252829047933, ""support"": 2523.0}, ""weighted avg"": {""precision"": 0.8308602730147991, ""recall"": 0.832738803012287, ""f1-score"": 0.8314434336159985, ""support"": 2523.0}}"
deepset/gbert-base,GERMEVAL (full),HASOC (full),0.8359391732705076,0.636404795253319,0.6744823956958031,0.650953704535074,0.926179604261796,0.8848763936015511,0.9050570153693605,4126.0,0.3466299862448418,0.46408839779005523,0.3968503937007874,543.0,0.650953704535074,0.8459530968501839,"{""0"": {""precision"": 0.926179604261796, ""recall"": 0.8848763936015511, ""f1-score"": 0.9050570153693605, ""support"": 4126.0}, ""1"": {""precision"": 0.3466299862448418, ""recall"": 0.46408839779005523, ""f1-score"": 0.3968503937007874, ""support"": 543.0}, ""accuracy"": 0.8359391732705076, ""macro avg"": {""precision"": 0.636404795253319, ""recall"": 0.6744823956958031, ""f1-score"": 0.650953704535074, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8587785670839836, ""recall"": 0.8359391732705076, ""f1-score"": 0.8459530968501839, ""support"": 4669.0}}"
deepset/gbert-base,GERMEVAL (full),GAHD (full),0.6250454710803929,0.6140107594609278,0.5933420752727708,0.5881544496167311,0.6386829206987558,0.8028436018957346,0.7114159725624694,6330.0,0.5893385982230998,0.3838405486498071,0.46489292667099286,4666.0,0.5881544496167311,0.6068073392294728,"{""0"": {""precision"": 0.6386829206987558, ""recall"": 0.8028436018957346, ""f1-score"": 0.7114159725624694, ""support"": 6330.0}, ""1"": {""precision"": 0.5893385982230998, ""recall"": 0.3838405486498071, ""f1-score"": 0.46489292667099286, ""support"": 4666.0}, ""accuracy"": 0.6250454710803929, ""macro avg"": {""precision"": 0.6140107594609278, ""recall"": 0.5933420752727708, ""f1-score"": 0.5881544496167311, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.6177443422455535, ""recall"": 0.6250454710803929, ""f1-score"": 0.6068073392294728, ""support"": 10996.0}}"
deepset/gbert-base,GERMEVAL (full),HASOC+GAHD (HASOC+GAHD),0.6879029684008937,0.638206308210051,0.613710014360702,0.6182831730826142,0.7339272207748551,0.8352142310635042,0.7813017222097964,10456.0,0.5424853956452469,0.3922057976578998,0.45526462395543177,5209.0,0.6182831730826142,0.6728863219667716,"{""0"": {""precision"": 0.7339272207748551, ""recall"": 0.8352142310635042, ""f1-score"": 0.7813017222097964, ""support"": 10456.0}, ""1"": {""precision"": 0.5424853956452469, ""recall"": 0.3922057976578998, ""f1-score"": 0.45526462395543177, ""support"": 5209.0}, ""accuracy"": 0.6879029684008937, ""macro avg"": {""precision"": 0.638206308210051, ""recall"": 0.613710014360702, ""f1-score"": 0.6182831730826142, ""support"": 15665.0}, ""weighted avg"": {""precision"": 0.6702680782852203, ""recall"": 0.6879029684008937, ""f1-score"": 0.6728863219667716, ""support"": 15665.0}}"
deepset/gbert-base,HASOC (train_70),HASOC (test_30),0.892933618843683,0.74209411169439,0.6517488131460797,0.682034134237124,0.9171779141104295,0.9660743134087237,0.940991345397325,1238.0,0.5670103092783505,0.3374233128834356,0.4230769230769231,163.0,0.682034134237124,0.8807343497954511,"{""0"": {""precision"": 0.9171779141104295, ""recall"": 0.9660743134087237, ""f1-score"": 0.940991345397325, ""support"": 1238.0}, ""1"": {""precision"": 0.5670103092783505, ""recall"": 0.3374233128834356, ""f1-score"": 0.4230769230769231, ""support"": 163.0}, ""accuracy"": 0.892933618843683, ""macro avg"": {""precision"": 0.74209411169439, ""recall"": 0.6517488131460797, ""f1-score"": 0.682034134237124, ""support"": 1401.0}, ""weighted avg"": {""precision"": 0.876437500414763, ""recall"": 0.892933618843683, ""f1-score"": 0.8807343497954511, ""support"": 1401.0}}"
deepset/gbert-base,HASOC (full),GERMEVAL (full),0.7194004995836802,0.7487680233188105,0.5999419987140633,0.5894376140946308,0.7120771670190275,0.96767821871072,0.8204308441805588,5569.0,0.7854588796185935,0.23220577871740664,0.35844438400870277,2838.0,0.5894376140946308,0.6644753815936993,"{""0"": {""precision"": 0.7120771670190275, ""recall"": 0.96767821871072, ""f1-score"": 0.8204308441805588, ""support"": 5569.0}, ""1"": {""precision"": 0.7854588796185935, ""recall"": 0.23220577871740664, ""f1-score"": 0.35844438400870277, ""support"": 2838.0}, ""accuracy"": 0.7194004995836802, ""macro avg"": {""precision"": 0.7487680233188105, ""recall"": 0.5999419987140633, ""f1-score"": 0.5894376140946308, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.73684905953212, ""recall"": 0.7194004995836802, ""f1-score"": 0.6644753815936993, ""support"": 8407.0}}"
deepset/gbert-base,HASOC (full),GAHD (full),0.5826664241542379,0.5681767811686849,0.5177160379715721,0.4378549504923748,0.5849516931784913,0.9469194312796209,0.7231706581407975,6330.0,0.5514018691588785,0.08851264466352336,0.15253924284395198,4666.0,0.4378549504923748,0.4810311361532492,"{""0"": {""precision"": 0.5849516931784913, ""recall"": 0.9469194312796209, ""f1-score"": 0.7231706581407975, ""support"": 6330.0}, ""1"": {""precision"": 0.5514018691588785, ""recall"": 0.08851264466352336, ""f1-score"": 0.15253924284395198, ""support"": 4666.0}, ""accuracy"": 0.5826664241542379, ""macro avg"": {""precision"": 0.5681767811686849, ""recall"": 0.5177160379715721, ""f1-score"": 0.4378549504923748, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.5707152909526352, ""recall"": 0.5826664241542379, ""f1-score"": 0.4810311361532492, ""support"": 10996.0}}"
deepset/gbert-base,HASOC (full),GERMEVAL+GAHD (GERMEVAL+GAHD),0.6419110446838118,0.6570094541505863,0.5497460771013171,0.5009912655806739,0.6389559360089812,0.9566350113454912,0.7661708285656593,11899.0,0.6750629722921915,0.14285714285714285,0.2358117025956885,7504.0,0.5009912655806739,0.561057450156204,"{""0"": {""precision"": 0.6389559360089812, ""recall"": 0.9566350113454912, ""f1-score"": 0.7661708285656593, ""support"": 11899.0}, ""1"": {""precision"": 0.6750629722921915, ""recall"": 0.14285714285714285, ""f1-score"": 0.2358117025956885, ""support"": 7504.0}, ""accuracy"": 0.6419110446838118, ""macro avg"": {""precision"": 0.6570094541505863, ""recall"": 0.5497460771013171, ""f1-score"": 0.5009912655806739, ""support"": 19403.0}, ""weighted avg"": {""precision"": 0.6529201271273242, ""recall"": 0.6419110446838118, ""f1-score"": 0.561057450156204, ""support"": 19403.0}}"
deepset/gbert-base,GAHD (train_70),GAHD (test_30),0.8029705971506517,0.7984704626482357,0.8026741518092229,0.79992539480294,0.8456004427227449,0.8046340179041601,0.8246087425796006,1899.0,0.7513404825737265,0.8007142857142857,0.7752420470262794,1400.0,0.79992539480294,0.8036589475584883,"{""0"": {""precision"": 0.8456004427227449, ""recall"": 0.8046340179041601, ""f1-score"": 0.8246087425796006, ""support"": 1899.0}, ""1"": {""precision"": 0.7513404825737265, ""recall"": 0.8007142857142857, ""f1-score"": 0.7752420470262794, ""support"": 1400.0}, ""accuracy"": 0.8029705971506517, ""macro avg"": {""precision"": 0.7984704626482357, ""recall"": 0.8026741518092229, ""f1-score"": 0.79992539480294, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.8055992471457137, ""recall"": 0.8029705971506517, ""f1-score"": 0.8036589475584883, ""support"": 3299.0}}"
deepset/gbert-base,GAHD (full),GERMEVAL (full),0.6633757582966575,0.5957770404599101,0.5495329526646995,0.5325943030743093,0.6879890185312285,0.8999820434548393,0.7798350707950833,5569.0,0.5035650623885918,0.19908386187455954,0.28535353535353536,2838.0,0.5325943030743093,0.6129100562140064,"{""0"": {""precision"": 0.6879890185312285, ""recall"": 0.8999820434548393, ""f1-score"": 0.7798350707950833, ""support"": 5569.0}, ""1"": {""precision"": 0.5035650623885918, ""recall"": 0.19908386187455954, ""f1-score"": 0.28535353535353536, ""support"": 2838.0}, ""accuracy"": 0.6633757582966575, ""macro avg"": {""precision"": 0.5957770404599101, ""recall"": 0.5495329526646995, ""f1-score"": 0.5325943030743093, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.6257319485261371, ""recall"": 0.6633757582966575, ""f1-score"": 0.6129100562140064, ""support"": 8407.0}}"
deepset/gbert-base,GAHD (full),HASOC (full),0.808095952023988,0.5595741708511074,0.5675710961079584,0.562885818916192,0.8997524752475248,0.880998545807077,0.8902767572863091,4126.0,0.21939586645468998,0.2541436464088398,0.2354948805460751,543.0,0.562885818916192,0.8141262841507454,"{""0"": {""precision"": 0.8997524752475248, ""recall"": 0.880998545807077, ""f1-score"": 0.8902767572863091, ""support"": 4126.0}, ""1"": {""precision"": 0.21939586645468998, ""recall"": 0.2541436464088398, ""f1-score"": 0.2354948805460751, ""support"": 543.0}, ""accuracy"": 0.808095952023988, ""macro avg"": {""precision"": 0.5595741708511074, ""recall"": 0.5675710961079584, ""f1-score"": 0.562885818916192, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8206276865187799, ""recall"": 0.808095952023988, ""f1-score"": 0.8141262841507454, ""support"": 4669.0}}"
deepset/gbert-base,GAHD (full),HASOC+GERMEVAL (HASOC+GERMEVAL),0.7150504741511166,0.5825084373104993,0.5499148458630038,0.5483537558039591,0.763532008830022,0.8919030428055699,0.8227402473834443,9695.0,0.4014848657909766,0.20792664892043775,0.27396726422447387,3381.0,0.5483537558039591,0.6808465906030468,"{""0"": {""precision"": 0.763532008830022, ""recall"": 0.8919030428055699, ""f1-score"": 0.8227402473834443, ""support"": 9695.0}, ""1"": {""precision"": 0.4014848657909766, ""recall"": 0.20792664892043775, ""f1-score"": 0.27396726422447387, ""support"": 3381.0}, ""accuracy"": 0.7150504741511166, ""macro avg"": {""precision"": 0.5825084373104993, ""recall"": 0.5499148458630038, ""f1-score"": 0.5483537558039591, ""support"": 13076.0}, ""weighted avg"": {""precision"": 0.6699191768772067, ""recall"": 0.7150504741511166, ""f1-score"": 0.6808465906030468, ""support"": 13076.0}}"
